# Instrument-source: 'H3-4A_SONATA.instr'
# Date: Fri Aug 30 22 14 2019
# Ncount: 1000000
# Numpoints: 2
# Param: m_top = 1
# type: multiarray_1d(2)
# title: Scan of m_top
# xlabel: 'm_top'
# ylabel: 'Intensity'
# xvars: m_top
# yvars: (Monlam_I,Monlam_ERR) (Monx_I,Monx_ERR) (Mony_I,Mony_ERR) (Mondx_I,Mondx_ERR) (Mondy_I,Mondy_ERR)
# xlimits: 1 5
# filename: mccode.dat
# variables: m_top Monlam_I Monlam_ERR Monx_I Monx_ERR Mony_I Mony_ERR Mondx_I Mondx_ERR Mondy_I Mondy_ERR
1 1.54063E+7 201494 1.54063E+7 201494 1.54063E+7 201494 1.54063E+7 201494 1.54063E+7 201494
1.5 2.14576E+7 235410 2.14576E+7 235410 2.14576E+7 235410 2.14576E+7 235410 2.14576E+7 235410
2 2.80949E+7 267744 2.80949E+7 267744 2.80949E+7 267744 2.80949E+7 267744 2.80949E+7 267744
2.5 3.35457E+7 288389 3.35457E+7 288389 3.35457E+7 288389 3.35457E+7 288389 3.35457E+7 288389
3 3.83569E+7 303014 3.83569E+7 303014 3.83569E+7 303014 3.83569E+7 303014 3.83569E+7 303014
3.5 4.20686E+7 312005 4.20686E+7 312005 4.20686E+7 312005 4.20686E+7 312005 4.20686E+7 312005
4 4.43021E+7 314719 4.43021E+7 314719 4.43021E+7 314719 4.43021E+7 314719 4.43021E+7 314719
4.5 4.61834E+7 316886 4.61834E+7 316886 4.61834E+7 316886 4.61834E+7 316886 4.61834E+7 316886
5 4.64292E+7 315007 4.64292E+7 315007 4.64292E+7 315007 4.64292E+7 315007 4.64292E+7 315007
