# Instrument-source: 'H3-4B_LIRA.instr'
# Date: Fri Aug 30 23 18 2019
# Ncount: 1000000
# Numpoints: 2
# Param: m_top = 1
# type: multiarray_1d(2)
# title: Scan of m_top
# xlabel: 'm_top'
# ylabel: 'Intensity'
# xvars: m_top
# yvars: (Monlam_I,Monlam_ERR) (Monx_I,Monx_ERR) (Mony_I,Mony_ERR) (Mondx_I,Mondx_ERR) (Mondy_I,Mondy_ERR)
# xlimits: 1 5
# filename: mccode.dat
# variables: m_top Monlam_I Monlam_ERR Monx_I Monx_ERR Mony_I Mony_ERR Mondx_I Mondx_ERR Mondy_I Mondy_ERR
1 1.15565E+7 166035 1.15565E+7 166035 1.15565E+7 166035 1.15565E+7 166035 1.15565E+7 166035
1.5 1.65418E+7 196280 1.65418E+7 196280 1.65418E+7 196280 1.65418E+7 196280 1.65418E+7 196280
2 2.05777E+7 216858 2.05777E+7 216858 2.05777E+7 216858 2.05777E+7 216858 2.05777E+7 216858
2.5 2.49045E+7 235670 2.49045E+7 235670 2.49045E+7 235670 2.49045E+7 235670 2.49045E+7 235670
3 2.80399E+7 244970 2.80399E+7 244970 2.80399E+7 244970 2.80399E+7 244970 2.80399E+7 244970
3.5 3.06441E+7 251692 3.06441E+7 251692 3.06441E+7 251692 3.06441E+7 251692 3.06441E+7 251692
4 3.26459E+7 255156 3.26459E+7 255156 3.26459E+7 255156 3.26459E+7 255156 3.26459E+7 255156
4.5 3.36258E+7 255930 3.36258E+7 255930 3.36258E+7 255930 3.36258E+7 255930 3.36258E+7 255930
5 3.39219E+7 255510 3.39219E+7 255510 3.39219E+7 255510 3.39219E+7 255510 3.39219E+7 255510
