# Instrument-source: 'H3-4A_SONATA.instr'
# Date: Fri Aug 30 22 18 2019
# Ncount: 1000000
# Numpoints: 2
# Param: m_top = 1
# type: multiarray_1d(2)
# title: Scan of m_top
# xlabel: 'm_top'
# ylabel: 'Intensity'
# xvars: m_top
# yvars: (Monlam_I,Monlam_ERR) (Monx_I,Monx_ERR) (Mony_I,Mony_ERR) (Mondx_I,Mondx_ERR) (Mondy_I,Mondy_ERR)
# xlimits: 1 5
# filename: mccode.dat
# variables: m_top Monlam_I Monlam_ERR Monx_I Monx_ERR Mony_I Mony_ERR Mondx_I Mondx_ERR Mondy_I Mondy_ERR
1 1.12836E+7 166428 1.12836E+7 166428 1.12836E+7 166428 1.12836E+7 166428 1.12836E+7 166428
1.5 1.48374E+7 188318 1.48374E+7 188318 1.48374E+7 188318 1.48374E+7 188318 1.48374E+7 188318
2 1.93772E+7 214111 1.93772E+7 214111 1.93772E+7 214111 1.93772E+7 214111 1.93772E+7 214111
2.5 2.28169E+7 229056 2.28169E+7 229056 2.28169E+7 229056 2.28169E+7 229056 2.28169E+7 229056
3 2.58375E+7 240094 2.58375E+7 240094 2.58375E+7 240094 2.58375E+7 240094 2.58375E+7 240094
3.5 2.79347E+7 245983 2.79347E+7 245983 2.79347E+7 245983 2.79347E+7 245983 2.79347E+7 245983
4 2.94945E+7 248621 2.94945E+7 248621 2.94945E+7 248621 2.94945E+7 248621 2.94945E+7 248621
4.5 3.04674E+7 250442 3.04674E+7 250442 3.04674E+7 250442 3.04674E+7 250442 3.04674E+7 250442
5 3.11733E+7 251492 3.11733E+7 251492 3.11733E+7 251492 3.11733E+7 251492 3.11733E+7 251492
